Package,LibPath,Version,Priority,Built
reshape2,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.4.3,NA,3.6.0
rlang,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.4.3,NA,3.6.2
rmarkdown,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.1,NA,3.6.0
rpart,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,4.1-15,recommended,3.6.2
rprojroot,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.3-2,NA,3.6.0
rstudioapi,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.10,NA,3.6.0
rvest,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.3.5,NA,3.6.0
scales,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.1.0,NA,3.6.0
selectr,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.4-2,NA,3.6.0
spatial,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,7.3-11,recommended,3.6.2
splines,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,3.6.2,base,3.6.2
stats,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,3.6.2,base,3.6.2
stats4,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,3.6.2,base,3.6.2
stringi,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.4.5,NA,3.6.0
stringr,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.4.0,NA,3.6.0
survival,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,3.1-8,recommended,3.6.2
sys,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,3.3,NA,3.6.0
tcltk,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,3.6.2,base,3.6.2
tibble,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.1.3,NA,3.6.0
tidyr,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.0.2,NA,3.6.2
tidyselect,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.2.5,NA,3.6.0
tidyverse,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.3.0,NA,3.6.0
tinytex,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.19,NA,3.6.0
tools,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,3.6.2,base,3.6.2
usethis,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.5.1,NA,3.6.0
utf8,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.1.4,NA,3.6.0
utils,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,3.6.2,base,3.6.2
vctrs,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.2.2,NA,3.6.2
viridisLite,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.3.0,NA,3.6.0
whisker,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.4,NA,3.6.0
withr,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.1.2,NA,3.6.0
xfun,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.12,NA,3.6.0
xml2,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.2.2,NA,3.6.0
yaml,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.2.0,NA,3.6.0
